fval,Prophylactic zinc supplementation,Vitamin A supplementation,Complementary feeding education,Public provision of complementary foods,Breastfeeding promotion,Balanced energy-protein supplementation,Multiple micronutrient supplementation
16710504.71,14758.47341,2641.960281,24631640.99,37800.31326,7.59E-13,4926.080631,2766.882244
16710300.15,2.12E-05,7.51E-05,24694534.7,2.39E-05,4.44E-21,6.47E-06,2.79E-05
17110692.21,4745.248791,5963178.121,12484100.25,484141.3886,5183583.577,400826.3552,173959.7577
18040686.05,24691323.54,383.6388408,82.01937006,2223.674452,237.9119905,215.1571529,68.7572977
17477518.68,1161154.789,10860772.75,7599370.526,486043.3227,272179.1231,748082.1457,3566932.046
16710318.92,405.1579969,1905.09398,24690013.82,1692.605827,158.56895,261.1893896,98.26217428
16710300.15,2.03E-06,3.17E-07,24694534.7,3.12E-07,2.28E-07,5.51E-07,2.88E-08
16710300.15,1.34E-05,2.53E-06,24694534.7,1.09E-20,1.40E-05,0,0.000165612
16710300.15,8.01E-06,4.19E-06,24694534.7,1.05E-05,2.38E-06,2.22E-06,4.25E-06
17090206.46,793487.6701,6618464.016,12216475.71,1309277.203,1806021.077,622538.9568,1328270.064
17766141.27,7170588.625,364480.7167,4278970.001,978377.0544,826452.2349,3011954.488,8063711.58
16710349.08,607.0644854,682.7744361,24685685.77,5914.095872,877.6480121,767.3511516,0
16710300.15,0.000290647,0.000792309,24694534.7,0.00107205,0.000396691,0.000861659,0.000522945
16710300.15,0.004556514,0.000259158,24694534.69,0.000613157,0.001469947,6.68E-05,0.001200751
16710300.16,0.140345376,0.036877359,24694533.42,0.223723453,0.33027355,0.236619145,0.310595093
18040664.09,24694534.7,5.09E-08,6.80E-09,8.63E-08,3.04E-08,1.13E-07,9.28E-09
18040664.09,24694534.7,3.13E-06,5.68E-07,2.96E-06,8.40E-07,3.93E-07,2.79E-06
17406935.7,823449.2422,1084691.627,8632206.007,411745.8613,6763587.145,60786.3205,6918068.497
16710744.28,1851.397029,18592.70404,24643199.37,410.9183381,14584.44797,2507.451587,13388.40935
18155127.65,3456866.849,5182471.696,1559663.369,3598720.691,4433092.061,899765.4898,5563954.544
16710300.45,6.630811495,9.559409044,24694493.34,1.023237846,1.535533924,12.90098863,9.713723638
18040664.7,24694236.76,124.6748573,27.15188365,64.36581106,13.37048631,32.6390695,35.73812304
16710300.15,0.001789129,0.002527303,24694534.69,0.00239335,0.001671946,0.00173708,0.000282986
18229718.01,1019239.432,8082686.1,774275.436,5936021.127,391877.3125,686344.903,7804090.391
17181007.52,1021542.324,1048948.282,10868157.4,1233807.746,843381.3401,208358.9741,9470338.634
16730609.12,124120.6052,352662.9281,22789723.3,546774.1267,528227.3718,334915.9282,18110.43726
17085176.73,1770175.622,6448091.407,11751499.15,2742818.627,32547.56459,623713.6329,1325688.699
16710301.83,9.530939769,6.408142536,24694315.82,16.13642757,2.075852297,9.209065885,175.5245432
16710844.43,3058.416041,5711.689782,24624607.55,27091.36481,15790.65944,2249.843845,16025.1742
17683047.9,1229762.397,1757567.634,5338400.882,5883177.503,1846728.227,4711369.161,3927528.896
16710300.17,0.307801243,0.309566132,24694532.21,0.284583963,0.417296995,0.848886024,0.326702766
16715450.28,39902.46442,62923.2558,24161554.53,20896.51901,95195.06201,94139.11459,219923.7537
16710300.15,3.45E-05,2.30E-05,24694534.7,2.87E-05,4.92E-06,2.73E-05,2.01E-06
17615900.11,5298536.507,965258.1219,6014588.182,877775.0042,7068614.666,1600917.754,2868844.465
16710300.15,0.001285945,0.001593417,24694534.7,0.000169877,0.000213766,0.000549886,0.000331481
17678771.27,2712594.325,1857098.172,4748611.816,10529839.89,2143752.751,926711.6514,1775926.096
17548437.96,1188165.552,739081.3089,7332678.786,1063784.103,8878064.917,2665976.252,2826783.781
16710300.16,2.721825927,0.56248582,24694528.48,1.054549407,0.191494269,0.216866463,1.469170083
16710300.28,11.6082699,6.816088096,24694496.55,12.11315433,4.613257874,0.091136519,2.904068198
16711451.68,5870.350417,6460.622682,24601893,4141.857751,40399.18889,30095.51477,5674.160998
17275745.4,747493.3474,5110764.563,9262361.909,4146605.138,414433.3963,523180.6753,4489695.671
17981584.09,6151773.134,3028329.263,2835183.647,179616.3302,4741703.657,1995075.496,5762853.173
17702050.74,5402688.232,4945859.045,4799492.269,4316483.979,3117975.624,1973614.32,138421.2307
16710300.15,2.31E-05,2.20E-05,24694534.7,5.83E-05,5.11E-05,2.01E-05,1.88E-05
18194037.18,4871644.067,1809618.706,908804.0248,7169909.126,4738630.016,2935241.212,2260687.549
16710370.59,555.5920021,787.9076352,24687508.48,1670.676086,3492.219645,330.9975288,188.8280093
16710300.32,2.94544204,0.426873612,24694510.33,7.329447424,2.853233597,2.132418256,8.685911199
16711606.74,10892.27657,11283.88042,24576249.43,2.04E-12,967.9331674,85831.09976,9310.07929
16710303.98,593.6508287,6.429116619,24693435.48,126.5871655,244.3859063,58.15519558,70.01308741
